No.,Timestamp,Berat
856,06:45:08:093,93.24
857,06:45:08:296,93.24
858,06:45:08:483,93.44
859,06:45:08:670,93.54
860,06:45:08:873,93.74
861,06:45:09:076,93.74
862,06:45:09:247,93.74
863,06:45:09:435,93.64
864,06:45:09:637,93.74
865,06:45:09:825,93.74
866,06:45:09:996,93.74
867,06:45:10:199,93.64
868,06:45:10:386,93.74
869,06:45:10:573,93.74
870,06:45:10:776,93.84
871,06:45:10:963,93.94
872,06:45:11:151,94.04
873,06:45:11:353,93.84
874,06:45:11:541,93.84
875,06:45:11:728,93.84
876,06:45:11:931,94.04
877,06:45:12:118,94.14
878,06:45:12:305,94.04
879,06:45:12:508,93.94
880,06:45:12:695,93.94
881,06:45:12:882,94.14
882,06:45:13:085,94.14
883,06:45:13:288,93.94
884,06:45:13:459,94.04
885,06:45:13:662,94.04
886,06:45:13:849,94.04
887,06:45:14:052,94.14
888,06:45:14:224,94.04
889,06:45:14:427,94.04
890,06:45:14:614,93.94
891,06:45:14:801,94.04
892,06:45:15:004,94.04
893,06:45:15:191,94.04
894,06:45:15:378,93.94
895,06:45:15:581,94.04
896,06:45:15:768,93.94
897,06:45:15:955,93.84
898,06:45:16:174,93.84
899,06:45:16:345,93.94
900,06:45:16:533,93.94
901,06:45:16:735,94.04
902,06:45:16:938,94.04
903,06:45:17:110,94.04
904,06:45:17:313,94.14
905,06:45:17:500,94.14
906,06:45:17:687,94.14
907,06:45:17:890,94.24
908,06:45:18:077,94.24
909,06:45:18:264,94.24
910,06:45:18:467,94.34
911,06:45:18:654,94.14
912,06:45:18:841,94.34
913,06:45:19:013,94.34
914,06:45:19:216,94.34
915,06:45:19:403,94.34
916,06:45:19:590,94.44
917,06:45:19:793,94.44
918,06:45:19:980,94.54
919,06:45:20:167,94.44
920,06:45:20:370,94.44
921,06:45:20:557,94.54
922,06:45:20:745,94.44
923,06:45:20:947,94.44
924,06:45:21:135,94.44
925,06:45:21:322,94.44
926,06:45:21:525,94.54
927,06:45:21:696,94.54
928,06:45:21:883,94.54
929,06:45:22:086,94.44
930,06:45:22:273,94.54
931,06:45:22:476,94.54
932,06:45:22:648,94.64
933,06:45:22:851,94.54
934,06:45:23:038,94.64
935,06:45:23:225,94.54
936,06:45:23:428,94.64
937,06:45:23:615,94.74
938,06:45:23:802,94.74
939,06:45:23:989,94.74
940,06:45:24:161,94.64
941,06:45:24:348,94.74
942,06:45:24:551,94.64
943,06:45:24:738,94.74
944,06:45:24:925,94.74
